mileage,mpg_city,feature_list,make,mpg_highway,stock_number,location,year,model,type,price
29K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14315591,Dulles,2014,Cruze LS,sedan,"$12,599"
23K,26,"Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Chevrolet,38,14199953,Dulles,2014,Cruze LT,sedan,"$12,599"
66K,20,"Front Seat Heaters, Sunroof(s), Auxiliary Audio Input, Overhead Airbags, ABS Brakes",Volvo,31,14472506,Dulles,2010,S40 2.4i,sedan,"$11,998"
77K,22,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Toyota,32,14315216,Dulles,2011,Camry LE,sedan,"$11,998"
62K,22,"Sunroof(s), Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Mazda,29,14472159,Dulles,2010,Mazda3 S,sedan,"$11,998"
59K,28,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,38,14314530,Dulles,2014,Elantra SE,sedan,"$11,998"
38K,28,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,38,14434633,Dulles,2014,Elantra SE,sedan,"$11,998"
76K,24,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Hyundai,35,14314860,Dulles,2012,Sonata GLS,sedan,"$11,998"
70K,25,"Sunroof(s), Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,36,14472654,Dulles,2011,Civic EX,sedan,"$11,998"
110K,21,"Leather Seats, Sunroof(s), Navigation System, Front Seat Heaters, Cruise Control",Honda,30,14315050,Dulles,2009,Accord EX-L,sedan,"$11,998"
92K,23,"Leather Seats, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Honda,34,14228548,Dulles,2012,Accord SE,sedan,"$11,998"
51K,26,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Ford,36,14315381,Dulles,2014,Focus SE,sedan,"$11,998"
3K,27,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Sync System",Ford,37,14315353,Dulles,2016,Fiesta S,sedan,"$11,998"
29K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14319284,Dulles,2014,Cruze LS,sedan,"$11,998"
59K,26,"Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Chevrolet,38,14266993,Dulles,2012,Cruze LT,sedan,"$11,998"
66K,28,"Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels, Overhead Airbags",Honda,35,14126517,Dulles,2011,Fit Sport,sedan,"$11,599"
105K,26,"Sport Package, Sunroof(s), Cruise Control, Auxiliary Audio Input, Rear Spoiler",Toyota,34,14472157,Dulles,2010,Corolla S,sedan,"$10,998"
82K,21,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Side Airbags, Air Conditioning",Toyota,31,14472231,Dulles,2008,Camry LE,sedan,"$10,998"
38K,26,"Sunroof(s), Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Kia,36,14472534,Dulles,2011,Forte EX,sedan,"$10,998"
106K,24,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,35,14314316,Dulles,2012,Sonata GLS,sedan,"$10,998"
102K,21,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Honda,31,14314381,Dulles,2010,Accord LX,sedan,"$10,998"
100K,21,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Side Airbags, Air Conditioning",Toyota,30,14315441,Dulles,2007,Camry LE,sedan,"$9,998"
110K,27,"Cruise Control, Auxiliary Audio Input, Rear Spoiler, Overhead Airbags, Traction Control",Nissan,34,14471901,Dulles,2011,Sentra S,sedan,"$9,599"
105K,25,"Convenience Package, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Nissan,33,14181045,Dulles,2008,Sentra S,sedan,"$8,998"
17K,20,"Premium Package, 4WD/AWD, Leather Seats, Rear View Camera, Front Seat Heaters",Lexus,27,14045239,Harrisonburg,2015,IS 250,sedan,"$27,998"
28K,40,"Luxury Package, Premium Package, Leather Seats, Parking Sensors, Rear View Camera",Lexus,39,13646778,Harrisonburg,2013,ES 300h,sedan,"$26,998"
16K,15,"Leather Seats, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Dodge,25,14052849,Harrisonburg,2014,Charger R/T,sedan,"$26,998"
30K,17,"Premium Package, 4WD/AWD, Leatherette Seats, Harman Kardon Sound, Rear View Camera",Mercedes-Benz,24,14313970,Harrisonburg,2011,E350 Sport,sedan,"$24,998"
15K,21,"Premium Package, 4WD/AWD, Leather Seats, Rear View Camera, Navigation System",Lexus,27,14046907,Harrisonburg,2013,IS 250,sedan,"$24,599"
24K,26,"Premium Package, Run Flat Tires, Turbo Charged Engine, Leatherette Seats, Harman Kardon Sound",Mercedes-Benz,38,14388148,Harrisonburg,2014,CLA250,sedan,"$23,998"
25K,20,"Turbo Charged Engine, Leather Seats, Panoramic Sunroof, Infinity Sound System, Parking Sensors",Kia,31,13904633,Harrisonburg,2015,Optima SXL,sedan,"$22,998"
22K,19,"Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters, Cruise Control",Dodge,31,14387427,Harrisonburg,2014,Charger SXT,sedan,"$21,998"
30K,22,"Luxury Package, Turbo Charged Engine, Leatherette Seats, Harman Kardon Sound, Rear View Camera",Mercedes-Benz,31,14275361,Harrisonburg,2014,C250 Luxury,sedan,"$20,998"
43K,21,"Turbo Charged Engine, Leather Seats, Parking Sensors, Rear View Camera, Navigation System",Cadillac,31,13870429,Harrisonburg,2014,ATS Luxury,sedan,"$20,998"
26K,0,"Leather Seats, Sunroof(s), Rear View Camera, Front Seat Heaters, Cruise Control",Honda,0,14194168,Harrisonburg,2014,Accord EX-L,sedan,"$20,599"
57K,23,"Premium Package, 4WD/AWD, Turbo Charged Engine, Leather Seats, Parking Sensors",BMW,35,14181084,Harrisonburg,2014,320 XI,sedan,"$19,998"
31K,22,"Technology Package, Leather Seats, Rear View Camera, Navigation System, Front Seat Heaters",Acura,31,14047932,Harrisonburg,2014,TSX,sedan,"$19,599"
26K,24,"Leather Seats, Panoramic Sunroof, Infinity Sound System, Rear View Camera, Navigation System",Hyundai,35,14422824,Harrisonburg,2014,Sonata Limited,sedan,"$18,998"
30K,0,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Honda,0,14178336,Harrisonburg,2014,Accord Sport,sedan,"$18,998"
111K,27,"Overhead Airbags, Side Airbags, Air Conditioning, ABS Brakes, Power Locks",Honda,35,14315308,Dulles,2007,Fit,sedan,"$8,599"
39K,27,"Convenience Package, Technology Package, Sunroof(s), Rear View Camera, Navigation System",Nissan,38,14342600,Harrisonburg,2015,Altima SV,sedan,"$17,998"
37K,23,"Premium Package, Leather Seats, Panoramic Sunroof, Infinity Sound System, Parking Sensors",Kia,34,14060898,Harrisonburg,2014,Optima EX,sedan,"$17,998"
25K,24,"Premium Package, Leather Seats, Rear View Camera, Front Seat Heaters, Sunroof(s)",Acura,35,14387516,Harrisonburg,2014,ILX,sedan,"$17,998"
43K,24,"Premium Package, Technology Package, Leather Seats, Parking Sensors, Rear View Camera",Acura,35,14126982,Harrisonburg,2014,ILX,sedan,"$17,599"
36K,21,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Chevrolet,31,14199493,Harrisonburg,2014,Impala LS,sedan,"$16,998"
23K,30,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Honda,39,13963809,Harrisonburg,2014,Civic EX,sedan,"$16,599"
17K,22,"Turbo Charged Engine, Rear View Camera, Navigation System, Cruise Control, Auxiliary Audio Input",Ford,33,14253333,Harrisonburg,2014,Fusion SE,sedan,"$16,599"
9K,27,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Nissan,38,14422665,Harrisonburg,2014,Altima S,sedan,"$15,998"
7K,29,"Cold Weather Package, Rear View Camera, Navigation System, Front Seat Heaters, Cruise Control",Nissan,39,14255591,Harrisonburg,2015,Sentra SV,sedan,"$15,998"
15K,27,"Luxury Package, Sport Package, Leather Seats, Sunroof(s), Parking Sensors",Ford,40,14254534,Harrisonburg,2016,Focus SE,sedan,"$15,998"
41K,23,"Alpine Sound System, Rear View Camera, Navigation System, Front Seat Heaters, Cruise Control",Chrysler,36,14253616,Harrisonburg,2015,200 S,sedan,"$15,998"
23K,27,"Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera, Cruise Control",Ford,40,14387241,Harrisonburg,2016,Focus SE,sedan,"$15,599"
35K,25,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Chevrolet,36,14482200,Harrisonburg,2015,Malibu LT,sedan,"$15,599"
40K,30,"Cruise Control, Auxiliary Audio Input, Rear Spoiler, Overhead Airbags, Traction Control",Mazda,40,14194418,Harrisonburg,2014,Mazda3 i Sport,sedan,"$14,998"
15K,28,"Leather Seats, Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Hyundai,38,14179353,Harrisonburg,2014,Elantra Limited,sedan,"$14,998"
8K,24,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,35,14255604,Harrisonburg,2014,Sonata GLS,sedan,"$14,998"
54K,29,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler",Toyota,38,14127024,Harrisonburg,2014,Corolla S Plus,sedan,"$14,599"
35K,25,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Toyota,35,14094414,Harrisonburg,2014,Camry LE,sedan,"$13,998"
30K,23,"Premium Package, Technology Package, Leather Seats, Panoramic Sunroof, Infinity Sound System",Kia,34,13952812,Harrisonburg,2014,Optima EX,sedan,"$18,599"
43K,30,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,14333100,Harrisonburg,2014,Civic LX,sedan,"$13,998"
39K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Toyota,38,14322279,Harrisonburg,2014,Corolla LE,sedan,"$13,599"
30K,25,"Turbo Charged Engine, Leatherette Seats, Cruise Control, Auxiliary Audio Input, Overhead Airbags",Volkswagen,36,14322356,Harrisonburg,2014,Jetta SE,sedan,"$12,998"
70K,27,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Nissan,38,14407571,Harrisonburg,2013,Altima S,sedan,"$12,998"
24K,19,"Leather Seats, Boston Sound System, Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Chrysler,29,14252834,Harrisonburg,2014,200 Limited,sedan,"$12,998"
69K,15,"Leather Seats, Parking Sensors, Front Seat Heaters, A/C Seat(s), Satellite Radio Ready",Cadillac,23,14053450,Harrisonburg,2008,DTS,sedan,"$12,998"
38K,26,,Ford,36,14389957,Harrisonburg,2014,Focus SE,sedan,"$12,899"
25K,26,"Turbo Charged Engine, Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,38,14255132,Harrisonburg,2014,Cruze LT,sedan,"$12,599"
38K,30,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Nissan,39,14287275,Harrisonburg,2014,Sentra SV,sedan,"$11,998"
34K,28,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Mazda,40,14387818,Harrisonburg,2013,Mazda3 i SV,sedan,"$11,998"
60K,28,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Hyundai,38,14126740,Harrisonburg,2012,Elantra Limited,sedan,"$11,998"
48K,19,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Ford,27,14127203,Harrisonburg,2010,Fusion SEL,sedan,"$11,998"
31K,22,"Leather Seats, Parking Sensors, Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Ford,31,14127055,Harrisonburg,2010,Fusion SEL,sedan,"$11,998"
26K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14093779,Harrisonburg,2014,Cruze LS,sedan,"$11,998"
34K,28,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Hyundai,37,14060930,Harrisonburg,2013,Accent GLS,sedan,"$11,599"
68K,22,"Leather & Suede Seats, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,33,14266974,Harrisonburg,2011,Malibu LT,sedan,"$11,599"
79K,26,"Sunroof(s), Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Toyota,35,14174752,Harrisonburg,2010,Corolla S,sedan,"$10,599"
84K,25,"Convenience Package, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Side Airbags",Nissan,33,14313882,Harrisonburg,2009,Sentra S,sedan,"$9,998"
112K,25,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Side Airbags, Air Conditioning",Honda,36,14266850,Harrisonburg,2009,Civic LX,sedan,"$9,998"
18K,22,"Turbo Charged Engine, Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera",Ford,33,14421518,Lynchburg,2016,Fusion Titanium,sedan,"$21,998"
30K,20,"Turbo Charged Engine, Leatherette Seats, Parking Sensors, Satellite Radio Ready, Auxiliary Audio Input",Cadillac,30,14102984,Lynchburg,2014,CTS,sedan,"$21,998"
25K,20,"Turbo Charged Engine, Leather Seats, Panoramic Sunroof, Infinity Sound System, Parking Sensors",Kia,31,14255237,Lynchburg,2014,Optima SXL,sedan,"$21,599"
17K,21,"Leather Seats, Sunroof(s), Rear View Camera, Front Seat Heaters, Cruise Control",Toyota,31,14093418,Lynchburg,2013,Avalon XLE Premium,sedan,"$20,599"
44K,19,"Premium Package, 4WD/AWD, Leatherette Seats, Harman Kardon Sound, Rear View Camera",Mercedes-Benz,28,14154075,Lynchburg,2013,C300 Luxury,sedan,"$19,998"
23K,40,"Auto Cruise Control, Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera",Ford,36,14008911,Lynchburg,2014,Fusion Energi Titanium,sedan,"$19,998"
17K,19,"Leather Seats, Rear View Camera, Front Seat Heaters, Satellite Radio Ready, Auxiliary Audio Input",Chrysler,31,14053740,Lynchburg,2016,300 Limited,sedan,"$19,998"
26K,19,"Leather Seats, Rear View Camera, Front Seat Heaters, Satellite Radio Ready, Auxiliary Audio Input",Chrysler,31,14053741,Lynchburg,2016,300 Limited,sedan,"$19,599"
17K,24,"Leather Seats, Rear View Camera, Front Seat Heaters, Sunroof(s), Auxiliary Audio Input",Acura,35,14418208,Lynchburg,2014,ILX,sedan,"$18,998"
53K,22,"Turbo Charged Engine, Leather Seats, Sunroof(s), Satellite Radio Ready, Auxiliary Audio Input",Audi,30,13683075,Lynchburg,2012,A4 Premium,sedan,"$18,599"
61K,22,"Limited Edition, Turbo Charged Engine, Leather Seats, Panoramic Sunroof, Infinity Sound System",Kia,34,13891410,Lynchburg,2013,Optima SXL,sedan,"$17,998"
42K,19,"Leather Seats, Infinity Sound System, Parking Sensors, Rear View Camera, Navigation System",Kia,28,14046201,Lynchburg,2014,Cadenza Premium,sedan,"$17,998"
26K,22,"Turbo Charged Engine, Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera",Ford,33,14418883,Lynchburg,2015,Fusion SE,sedan,"$17,998"
65K,18,"4WD/AWD, Leather Seats, Sunroof(s), Parking Sensors, Rear View Camera",Ford,26,13921890,Lynchburg,2013,Taurus Limited,sedan,"$17,998"
16K,24,"Premium Package, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Hyundai,35,14178930,Lynchburg,2014,Sonata SE,sedan,"$17,599"
55K,28,"Head Up Display, Leather Seats, Sunroof(s), Rear View Camera, Navigation System",Mazda,39,14052960,Lynchburg,2014,Mazda3 s Grand Touring,sedan,"$16,998"
28K,23,"Premium Package, Leather Seats, Panoramic Sunroof, Infinity Sound System, Rear View Camera",Kia,34,14254932,Lynchburg,2014,Optima EX,sedan,"$16,998"
10K,25,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Hyundai,37,14387158,Lynchburg,2015,Sonata SE,sedan,"$16,998"
39K,20,"Leather Seats, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Honda,30,14024852,Lynchburg,2012,Accord EX-L,sedan,"$16,998"
25K,22,"Turbo Charged Engine, Sunroof(s), Rear View Camera, Navigation System, Front Seat Heaters",Hyundai,34,14254424,Lynchburg,2013,Sonata Limited,sedan,"$16,599"
23K,36,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Kia,40,14255234,Lynchburg,2014,Optima Hybrid LX,sedan,"$15,998"
64K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Honda,36,14053139,Lynchburg,2013,Accord Sport,sedan,"$15,998"
36K,30,"Sunroof(s), Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Honda,39,13963492,Lynchburg,2014,Civic EX,sedan,"$15,998"
49K,23,"Luxury Package, Technology Package, Turbo Charged Engine, Leather Seats, Sunroof(s)",Ford,36,14254552,Lynchburg,2014,Fusion SE,sedan,"$15,998"
14K,30,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Mazda,41,14008929,Lynchburg,2015,Mazda3 i Sport,sedan,"$15,599"
33K,30,"Premium Package, Sunroof(s), Rear View Camera, Navigation System, Cruise Control",Nissan,39,14422812,Lynchburg,2014,Sentra SR,sedan,"$14,998"
31K,24,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,35,14481798,Lynchburg,2014,Sonata GLS,sedan,"$14,998"
37K,27,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Honda,36,14388127,Lynchburg,2014,Accord LX,sedan,"$14,998"
101K,17,"4WD/AWD, Leather Seats, Satellite Radio Ready, Rear View Camera, Sunroof(s)",Honda,25,14045966,Lynchburg,2010,Accord CrossTour EX-L,sedan,"$14,998"
100K,18,"Leather Seats, Alpine Sound System, Rear View Camera, Navigation System, Front Seat Heaters",Chrysler,27,14288115,Lynchburg,2011,300 Limited,sedan,"$14,998"
16K,19,"Leather Seats, Sunroof(s), Boston Sound System, Navigation System, Front Seat Heaters",Chrysler,29,14054460,Lynchburg,2014,200 Limited,sedan,"$14,998"
26K,25,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Chevrolet,36,14199851,Lynchburg,2014,Malibu LT,sedan,"$14,998"
15K,21,"Rear View Camera, Satellite Radio Ready, Auxiliary Audio Input, Overhead Airbags, ABS Brakes",Buick,32,14322661,Lynchburg,2015,Verano,sedan,"$14,998"
31K,27,"Leather Seats, Parking Sensors, Rear View Camera, Cruise Control, Auxiliary Audio Input",Ford,40,14254537,Lynchburg,2016,Focus SE,sedan,"$14,599"
28K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Toyota,38,14254489,Lynchburg,2014,Corolla LE,sedan,"$13,998"
33K,29,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Toyota,38,14094433,Lynchburg,2015,Corolla LE,sedan,"$13,998"
27K,28,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,14304661,Lynchburg,2013,Civic LX,sedan,"$13,998"
84K,18,"Cruise Control, Alloy Wheels, Overhead Airbags, Traction Control, Side Airbags",Hyundai,27,14023829,Harrisonburg,2006,Sonata GLS,sedan,"$7,998"
10K,21,"Rear View Camera, Satellite Radio Ready, Auxiliary Audio Input, Overhead Airbags, ABS Brakes",Buick,32,14253099,Lynchburg,2015,Verano,sedan,"$16,998"
23K,21,"Satellite Radio Ready, Auxiliary Audio Input, Overhead Airbags, ABS Brakes, Alloy Wheels",Buick,32,14180448,Lynchburg,2012,Verano,sedan,"$13,998"
77K,21,"Leather Seats, Sunroof(s), Navigation System, Front Seat Heaters, Cruise Control",Honda,31,14024312,Lynchburg,2010,Accord EX-L,sedan,"$13,599"
39K,30,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Nissan,39,14407344,Lynchburg,2014,Sentra SV,sedan,"$12,998"
47K,24,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Dodge,34,14342328,Lynchburg,2013,Dart Rallye,sedan,"$12,998"
28K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,14387228,Lynchburg,2014,Cruze LS,sedan,"$12,998"
35K,26,"Turbo Charged Engine, Sunroof(s), Pioneer Sound System, Rear View Camera, Cruise Control",Chevrolet,38,14253312,Lynchburg,2014,Cruze LT,sedan,"$12,998"
59K,27,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Nissan,38,14314149,Lynchburg,2013,Altima S,sedan,"$12,899"
77K,30,"Premium Package, Sunroof(s), Rear View Camera, Navigation System, Cruise Control",Nissan,39,13890191,Lynchburg,2013,Sentra SR,sedan,"$12,599"
19K,31,"Cruise Control, Auxiliary Audio Input, Rear Spoiler, Overhead Airbags, Traction Control",Nissan,40,14266717,Lynchburg,2015,Versa SV,sedan,"$12,599"
34K,28,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,38,14387757,Lynchburg,2014,Elantra SE,sedan,"$12,599"
26K,28,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,38,14303202,Lynchburg,2013,Elantra GLS,sedan,"$12,599"
67K,0,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Honda,0,14407490,Lynchburg,2012,Civic LX,sedan,"$12,599"
58K,22,"Leather & Suede Seats, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,33,14019137,Lynchburg,2012,Malibu LT,sedan,"$12,599"
36K,22,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Chevrolet,33,14246428,Lynchburg,2012,Malibu LT,sedan,"$12,599"
48K,28,"Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Hyundai,38,14417396,Lynchburg,2013,Elantra GLS,sedan,"$11,998"
62K,20,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Chrysler,31,14267148,Lynchburg,2013,200 Touring,sedan,"$11,599"
68K,21,"Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Dodge,30,14053787,Lynchburg,2011,Avenger Express,sedan,"$10,998"
53K,26,"Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Rear Spoiler, Alloy Wheels",Chevrolet,38,13921515,Lynchburg,2012,Cruze LT,sedan,"$10,998"
102K,22,"Leather Seats, Sunroof(s), Infinity Sound System, Navigation System, Front Seat Heaters",Hyundai,32,14053455,Lynchburg,2009,Sonata Limited,sedan,"$9,998"
32K,30,"Rear View Camera, Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control",Honda,39,13963860,Lynchburg,2014,Civic LX,sedan,"$13,998"
19K,26,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Kia,39,12546184,West Broad,2015,Forte LX,sedan,"$12,998"
47K,28,"Rear View Camera, Front Seat Heaters, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,38,14482451,West Broad,2014,Elantra SE,sedan,"$12,998"
71K,19,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Honda,29,14141178,West Broad,2009,Accord EX-L,sedan,"$12,998"
24K,28,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Honda,39,14422418,West Broad,2012,Civic LX,sedan,"$12,998"
69K,23,"Cruise Control, Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags",Honda,34,14272876,West Broad,2012,Accord LX,sedan,"$12,998"
58K,23,"Leather Seats, Sunroof(s), Parking Sensors, Front Seat Heaters, Cruise Control",Ford,33,14448658,West Broad,2012,Fusion SEL,sedan,"$12,998"
25K,26,"Parking Sensors, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Ford,37,14488505,West Broad,2014,Focus SE,sedan,"$12,998"
30K,26,"Convenience Package, Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,38,14422462,West Broad,2014,Cruze LT,sedan,"$12,998"
26K,26,"Convenience Package, Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,38,14422454,West Broad,2014,Cruze LT,sedan,"$12,998"
28K,26,"Convenience Package, Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Chevrolet,38,14422422,West Broad,2014,Cruze LT,sedan,"$12,998"
43K,26,"Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Chevrolet,38,14387230,West Broad,2015,Cruze LT,sedan,"$12,998"
73K,0,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Nissan,0,14141350,West Broad,2011,Altima SL,sedan,"$12,599"
65K,27,"Special Edition, Convenience Package, Technology Package, Sunroof(s), Navigation System",Nissan,34,14530663,West Broad,2012,Sentra SR,sedan,"$11,998"
36K,30,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Nissan,39,14387135,West Broad,2014,Sentra S,sedan,"$11,998"
71K,24,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,35,14530502,West Broad,2012,Sonata GLS,sedan,"$11,998"
93K,24,"Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags, Traction Control",Hyundai,35,14273032,West Broad,2013,Sonata GLS,sedan,"$11,998"
84K,24,"Turbo Charged Engine, Leather Seats, Sunroof(s), Pioneer Sound System, Parking Sensors",Chevrolet,36,14448621,West Broad,2011,Cruze LTZ,sedan,"$11,998"
35K,26,"Turbo Charged Engine, Cruise Control, Auxiliary Audio Input, Alloy Wheels, Overhead Airbags",Chevrolet,38,14387722,West Broad,2014,Cruze LT,sedan,"$11,998"
73K,17,"Leather Seats, Front Seat Heaters, Sunroof(s), Satellite Radio Ready, Overhead Airbags",Buick,28,13365687,West Broad,2008,LaCrosse CXL,sedan,"$11,998"
47K,22,"Auxiliary Audio Input, Overhead Airbags, Traction Control, Side Airbags, Air Conditioning",Chevrolet,35,13341044,West Broad,2013,Cruze LS,sedan,"$11,599"
110K,22,"Sunroof(s), Navigation System, Cruise Control, Auxiliary Audio Input, Alloy Wheels",Hyundai,35,14378146,West Broad,2011,Sonata SE,sedan,"$10,998"
111K,21,"Leather Seats, Sunroof(s), Front Seat Heaters, Cruise Control, Auxiliary Audio Input",Honda,30,13365757,West Broad,2009,Accord EX-L,sedan,"$10,998"
