TEAM,GP,W,L,MIN,DEFRTG,DREB,DREB%,STL,BLK,Opp PTS OFF TOV,Opp PTS 2nd CHANCE,Opp PTS FB,Opp PTS PAINT,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,Season,Team,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Opp. Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Opp. Made Avg. Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.),Opp. Missed Avg. Shot Dis.(ft.),Season,Season Type,Match Count
Phoenix Suns,66,33,33,48,103.8,30.8,71.7,6.5,5.5,15.2,14.2,12.6,43.4,66,33,33,3168,103.5,103.8,-0.2,59.6,1.6,17.5,25.8,71.7,49,14.8,49.9,53.6,95.02,50.2,2011-2012,Phoenix Suns,37.83,15.81,22.5,23.62,0.24,12.79,12.02,10.56,9.92,14.67,13.77,2011-2012,REG,66
Portland Trail Blazers,66,28,38,48.4,103.7,29.5,72.8,8,4.9,16,13.4,14.3,42.2,66,28,38,3193,102.8,103.7,-0.9,56.2,1.44,16.2,26.3,72.8,49,15,48.8,53.1,93.73,49.4,2011-2012,Portland Trail Blazers,40.89,12.02,21.58,25.2,0.31,12.51,12.03,10.43,9.92,14.17,13.85,2011-2012,REG,66
Sacramento Kings,66,22,44,48.2,106.8,29.5,70.5,8.5,4.9,17.8,14.4,17.1,48.2,66,22,44,3183,101,106.8,-5.8,51,1.34,14.8,29.1,70.5,48.8,14.7,47.2,51,97.34,45.1,2011-2012,Sacramento Kings,49.34,10.79,17.12,22.45,0.3,11.26,11.81,8.83,9.49,13.12,13.92,2011-2012,REG,66
San Antonio Spurs,66,50,16,48.3,100.6,32.6,76,7.4,4.4,15.2,11.1,14,40.5,66,50,16,3188,108.5,100.6,7.9,58.5,1.71,17.9,25.1,76,51.1,14.2,52.8,56.2,95.09,54.6,2011-2012,San Antonio Spurs,43.43,14.43,16.36,25.65,0.13,11.96,12.15,10.09,10.37,13.66,13.61,2011-2012,REG,66
Toronto Raptors,66,23,43,48.4,101.5,31.4,75.4,6.5,4.9,15.4,12.4,12.5,37.6,66,23,43,3193,98.5,101.5,-3,60.9,1.38,16.9,25.9,75.4,50.9,16.5,47.5,51.8,91.63,47.8,2011-2012,Toronto Raptors,39.08,13.76,26.31,20.61,0.25,12.62,12.13,10.33,10.01,14.43,13.76,2011-2012,REG,66
Utah Jazz,66,36,30,49,103.6,31.1,73.8,8.3,5.8,15.3,12.2,14.4,42.3,66,36,30,3233,103.7,103.6,0.2,57,1.54,16.7,30.2,73.8,51.8,14.8,48.1,52.5,93.91,50.9,2011-2012,Utah Jazz,47.19,16.97,20.53,15.01,0.29,10.71,12.01,8.37,9.91,12.67,13.75,2011-2012,REG,66
Washington Wizards,66,20,46,48.1,103.8,29.9,70.9,8,6.3,18.2,14.5,14.5,40.7,66,20,46,3173,97.8,103.8,-6,52.3,1.25,15.1,27.3,70.9,48.9,16,47.2,50.8,95.11,46,2011-2012,Washington Wizards,43.24,14.44,22.73,19.41,0.18,11.68,11.97,9.26,10,13.59,13.59,2011-2012,REG,66
Atlanta Hawks,82,44,38,48.1,104.6,30,74.6,6.1,4.2,15.2,12.8,14.1,40.5,82,44,38,3946,103.2,104.6,-1.4,60.7,1.61,17.8,23.4,74.6,49.2,14.8,50.1,54.2,91.56,49.3,2010-2011,Atlanta Hawks,36.76,13.69,27.36,21.98,0.2,13.03,12.33,11.16,10.21,14.64,14.14,2010-2011,REG,82
Boston Celtics,82,56,26,48.2,97.8,31,74.7,8.2,4.2,15.1,12.5,11.2,37,82,56,26,3956,104,97.8,6.2,63.5,1.61,18.9,21.1,74.7,49.5,15.7,51.9,56.1,92.51,55.8,2010-2011,Boston Celtics,42.11,14.52,25.37,17.86,0.13,11.58,12.05,9.55,10.03,13.5,13.61,2010-2011,REG,82
Charlotte Bobcats,82,34,48,48.3,104.8,29.8,75.2,6.4,5.3,16.5,12.8,14.3,39.8,82,34,48,3961,100.8,104.8,-4,60.1,1.45,17,25.7,75.2,50.3,15.7,48.2,52.8,92.09,48,2010-2011,Charlotte Bobcats,45.33,12.32,23.46,18.56,0.33,11.46,12.28,9.43,10.23,13.14,14,2010-2011,REG,82
Chicago Bulls,82,62,20,48.4,97.4,32.4,76.2,7.2,5.7,15.4,11.9,13,36.2,82,62,20,3966,105.5,97.4,8.1,60.1,1.57,17.5,29.4,76.2,53.5,15.1,50.1,54.1,92.91,55.5,2010-2011,Chicago Bulls,42.96,12.63,22.82,21.22,0.37,12.07,12.47,10,10.44,13.84,14,2010-2011,REG,82
Cleveland Cavaliers,82,19,63,48.2,109.1,29.9,73.3,6.6,4.2,15.8,13.2,14.2,42.2,82,19,63,3951,99.5,109.1,-9.6,59.6,1.48,16.5,24.2,73.3,48.1,14.8,47.2,51.8,95.52,44.1,2010-2011,Cleveland Cavaliers,43.51,13.77,20.29,22.27,0.17,11.85,12.15,9.87,10.43,13.37,13.7,2010-2011,REG,82
Dallas Mavericks,82,57,25,48.1,102.3,31.9,74.8,6.8,4.3,15.4,12.6,13.9,42,82,57,25,3941,107.6,102.3,5.3,63.7,1.71,18.8,24.1,74.8,50.4,15,52.5,56.5,93.4,53.8,2010-2011,Dallas Mavericks,35.7,17.1,19.85,27.05,0.31,13.12,12.18,11.11,9.85,14.94,14.1,2010-2011,REG,82
Denver Nuggets,82,50,32,48.1,104.8,32.3,75.4,7.4,4.3,15.6,13.2,12.2,41.2,82,50,32,3941,109.5,104.8,4.7,57.6,1.57,17,23.9,75.4,50.4,14.4,52.6,57.4,97.94,52.4,2010-2011,Denver Nuggets,46.33,9.34,18.61,25.45,0.27,11.83,12.78,9.86,10.51,13.62,14.71,2010-2011,REG,82
Detroit Pistons,82,30,52,48.5,109,27.3,72.1,7.3,4,16.3,13.9,15.7,44,82,30,52,3976,104.6,109,-4.4,56.6,1.62,16.9,27.4,72.1,48.7,14,49.5,53.3,91.52,46.4,2010-2011,Detroit Pistons,42.12,16.85,22.15,18.6,0.29,11.48,11.83,9.59,9.43,13.08,14.1,2010-2011,REG,82
Golden State Warriors,82,36,46,48.4,107.6,28.9,69.3,9,5,17.6,14.4,19.3,45.5,82,36,46,3966,105.5,107.6,-2.1,56.8,1.54,17,26.7,69.3,47.5,14.9,51,54.4,97.38,47.2,2010-2011,Golden State Warriors,40.96,12.74,21.41,24.58,0.32,12.56,11.87,10.71,9.84,14.14,13.64,2010-2011,REG,82
Houston Rockets,82,43,39,48.5,106.2,31.1,72.7,7.1,4.5,15.2,14.3,14.7,45.9,82,43,39,3976,108,106.2,1.8,61.7,1.76,17.8,27.4,72.7,50,13.8,50.3,55,96.87,51.5,2010-2011,Houston Rockets,41.92,13.93,17.75,26.14,0.26,12.4,11.54,10.46,9.63,14.01,13.22,2010-2011,REG,82
Indiana Pacers,82,37,45,48.2,103.4,32.4,74.1,7.1,5.6,17.1,12.9,13.3,39,82,37,45,3956,101.9,103.4,-1.5,53.6,1.28,15.3,25.9,74.1,50.2,15.7,48.6,53.3,97.24,49.2,2010-2011,Indiana Pacers,39.15,15.18,21.32,24.14,0.21,12.7,12.37,10.78,10.63,14.22,13.79,2010-2011,REG,82
Los Angeles Clippers,82,32,50,48.4,106.3,30.5,73.2,7.1,4.9,19.1,13.2,14.2,41,82,32,50,3971,101.8,106.3,-4.5,60.1,1.35,16.9,28.4,73.2,51,16.9,49.6,53.5,95.47,48.3,2010-2011,Los Angeles Clippers,47.77,10.92,18.42,22.58,0.31,11.57,12.54,9.04,10.4,13.71,14.32,2010-2011,REG,82
Los Angeles Lakers,82,57,25,48.4,101.3,31.9,72.3,7.3,5.1,14.7,13.8,13.7,39.9,82,57,25,3966,107.9,101.3,6.6,57.6,1.68,17.1,29.2,72.3,51.5,13.9,50.2,54.5,93.37,54.1,2010-2011,Los Angeles Lakers,42.08,16.08,19.91,21.56,0.37,12.22,12.67,9.96,10.63,14.17,14.25,2010-2011,REG,82
Memphis Grizzlies,82,46,36,48.5,102.5,29.2,72.5,9.4,5.4,15.3,12.7,15,40.3,82,46,36,3976,104.4,102.5,1.9,52.8,1.48,16.1,28.9,72.5,50.5,14.6,49.3,53.4,94.5,51.8,2010-2011,Memphis Grizzlies,50.52,15.5,20.36,13.2,0.41,10.27,12.38,8.2,10.31,12.12,14.12,2010-2011,REG,82
Miami Heat,82,58,24,48.2,100.7,32.5,75.5,6.6,5.2,15.5,12.8,13,38.6,82,58,24,3956,109.3,100.7,8.5,54.1,1.44,16.2,25.2,75.5,51.8,14.9,52.4,57.3,93.2,55.6,2010-2011,Miami Heat,36.11,13.62,26.72,23.34,0.21,13.22,12.31,11.12,10.45,15.16,13.73,2010-2011,REG,82
Milwaukee Bucks,82,35,47,48.4,99.9,30.2,74.8,7.5,4.9,14.8,11.9,12.1,37.5,82,35,47,3966,99,99.9,-1,54.9,1.4,15.4,24.7,74.8,49.1,14.5,46.7,51.1,92.1,48.8,2010-2011,Milwaukee Bucks,39.71,16.05,22.63,21.43,0.18,12.29,12,10.53,9.95,13.62,13.65,2010-2011,REG,82
Minnesota Timberwolves,82,17,65,48.2,108.3,31.2,73.7,7.2,5.1,20,14.2,17.1,41.8,82,17,65,3956,101.1,108.3,-7.2,53.4,1.18,15.1,29.6,73.7,51.1,17.1,48.3,52.6,99.18,44.3,2010-2011,Minnesota Timberwolves,42.66,14.6,20.4,21.9,0.44,12.24,12.6,10.59,10.5,13.54,14.45,2010-2011,REG,82
New Jersey Nets,82,24,58,48.8,107,29.8,74.2,5.6,4.7,15.9,13,13.3,41.5,82,24,58,4001,100.2,107,-6.9,59,1.5,16.7,26.1,74.2,49.4,14.9,47.4,51.7,92.39,45.2,2010-2011,New Jersey Nets,40.15,17.18,22.54,19.8,0.34,12.25,12.01,10.5,10.21,13.62,13.57,2010-2011,REG,82
New Orleans Hornets,82,46,36,48.4,102.5,30.1,76.2,7.6,4.4,14.6,10.5,11.7,38.1,82,46,36,3966,103.8,102.5,1.4,57.4,1.58,16.9,25.1,76.2,50.5,14.3,49.3,53.7,90.89,50.7,2010-2011,New Orleans Hornets,39.45,17.67,23.68,18.89,0.31,12.27,12.76,10.7,10.45,13.61,14.71,2010-2011,REG,82
New York Knicks,82,42,40,48.2,106.9,30.1,71.9,7.6,5.8,16.1,14.5,12.7,46,82,42,40,3956,108.3,106.9,1.4,56,1.56,16.5,24.2,71.9,47.9,13.9,51.3,56.1,98.1,50.4,2010-2011,New York Knicks,40.13,11.68,17.88,30.1,0.21,13.05,11.39,10.94,9.7,14.83,12.91,2010-2011,REG,82
Oklahoma City Thunder,82,55,27,48.8,104,31.8,73.6,8,5.9,15.4,14.4,12.3,44.9,82,55,27,4001,108.6,104,4.5,54.5,1.45,15.9,27.4,73.6,51.3,14.6,50.1,56.1,95.27,52.9,2010-2011,Oklahoma City Thunder,41.3,15.76,21.71,21.02,0.21,11.97,11.26,9.69,9.24,13.95,12.97,2010-2011,REG,82
Orlando Magic,82,52,30,48.4,99.1,32.7,76.9,6.7,4.7,16.5,11.5,10.7,35.4,82,52,30,3966,105.7,99.1,6.6,55.3,1.34,16,26.1,76.9,52.1,15.9,52.1,55.4,93.49,53.4,2010-2011,Orlando Magic,38.06,12.75,16.41,32.41,0.37,13.58,13.04,11.25,11.12,15.58,14.53,2010-2011,REG,82
Philadelphia 76ers,82,41,41,48.6,102.5,31.4,74.5,7.6,4.3,14.7,12.2,13.3,41,82,41,41,3986,104,102.5,1.5,59.6,1.75,17.7,24.6,74.5,49.6,13.6,49.4,53.5,93.95,51,2010-2011,Philadelphia 76ers,39.05,21.16,21.28,18.27,0.24,11.95,11.97,10.06,9.96,13.56,13.61,2010-2011,REG,82
Phoenix Suns,82,40,42,48.8,107.4,30.2,71.6,6.6,4.4,16.8,14.1,14,43.8,82,40,42,4001,107,107.4,-0.4,60.4,1.66,18,23.7,71.6,47.6,14.5,52.2,55.9,96.76,49.4,2010-2011,Phoenix Suns,38.31,15.3,19.26,26.88,0.25,12.89,12.41,10.66,10.42,14.87,14.18,2010-2011,REG,82
Portland Trail Blazers,82,48,34,48.3,104.2,27.2,72,8,4.4,15,13.3,11.4,40.2,82,48,34,3961,105.6,104.2,1.4,58.8,1.62,17,29.5,72,49.8,14.3,48.6,53.3,90.52,51.6,2010-2011,Portland Trail Blazers,41.6,15.03,20.58,22.42,0.36,12.13,11.94,9.84,10.02,13.98,13.62,2010-2011,REG,82
Sacramento Kings,82,24,58,48.4,106.3,30.8,74.4,7.4,4.8,18.9,12.8,17.8,46,82,24,58,3971,100.6,106.3,-5.7,53.4,1.27,15.4,29.9,74.4,51.6,16.3,48,51.9,97.81,46.2,2010-2011,Sacramento Kings,44.92,14.69,22.12,17.9,0.37,11.5,11.65,9.35,9.69,13.25,13.45,2010-2011,REG,82
San Antonio Spurs,82,61,21,48.2,102.8,31.7,74.6,7.3,4.5,15.3,13.2,14,41.2,82,61,21,3956,109.4,102.8,6.6,58.3,1.67,17.6,24.9,74.6,50.4,14.2,52.7,56.7,94.59,53.8,2010-2011,San Antonio Spurs,41.43,15.8,16.74,25.9,0.14,12.17,12,10.37,10.28,13.79,13.44,2010-2011,REG,82
Toronto Raptors,82,22,60,48.2,110,28.6,72,7.1,4.3,17.7,13.9,16.7,47.4,82,22,60,3956,103.3,110,-6.7,57.1,1.49,16.9,28.2,72,49.5,15.3,49.1,53.3,95.38,45.9,2010-2011,Toronto Raptors,44.5,14.86,24.49,15.88,0.27,11.3,11.35,9.16,9.18,13.16,13.36,2010-2011,REG,82
Utah Jazz,82,39,43,48.5,107.3,28.5,71.7,7.7,5.9,16.6,12.9,13.1,40.3,82,39,43,3976,104.9,107.3,-2.4,62.7,1.63,18.1,27,71.7,49.1,15.1,49.8,54.4,93.64,50,2010-2011,Utah Jazz,43.34,15.54,22.03,18.8,0.29,11.59,12.24,9.55,10.36,13.36,13.83,2010-2011,REG,82
Washington Wizards,82,23,59,48.6,107.2,29,70.5,8.1,6.1,18.1,14,16.6,44.1,82,23,59,3986,99.6,107.2,-7.6,52.2,1.27,15,28,70.5,48.5,15.7,47.1,51.3,96.47,44.5,2010-2011,Washington Wizards,41.58,16.58,24.67,16.97,0.2,11.7,11.81,9.6,9.67,13.38,13.71,2010-2011,REG,82
Atlanta Hawks,82,53,29,48.4,104,29.9,72.7,7.2,5,13.6,14,15.9,42.9,82,53,29,3971,108.9,104,4.9,56.2,1.83,17.2,28.2,72.7,50.2,12.8,50.6,54.5,92.5,52.3,2009-2010,Atlanta Hawks,42.54,12.43,23.67,21.09,0.28,11.85,11.53,9.66,9.44,13.77,13.31,2009-2010,REG,82
Boston Celtics,82,50,32,48.2,101.1,29.9,73.8,8.5,4.9,16.1,12.8,11.6,38.2,82,50,32,3956,105.4,101.1,4.3,63.5,1.58,18.6,22.8,73.8,49.1,15.8,52.2,56.4,93.84,54,2009-2010,Boston Celtics,44.56,14,18.63,22.57,0.24,11.47,12.08,9.23,10.06,13.57,13.73,2009-2010,REG,82
Charlotte Bobcats,82,44,38,48.5,100.2,30.4,74.2,7.7,5.4,16.9,12.7,12.8,39.6,82,44,38,3976,101.5,100.2,1.3,58,1.29,16.2,26.5,74.2,50.7,16.8,49,53.8,92.8,51.8,2009-2010,Charlotte Bobcats,48.1,10.53,20.27,20.76,0.33,10.73,12.12,8.43,9.78,12.64,14.02,2009-2010,REG,82
Chicago Bulls,82,41,41,48.5,102.6,33.1,74.8,6.5,5.8,15.5,12.9,13.3,39.7,82,41,41,3981,100.8,102.6,-1.8,55.3,1.45,16.1,26.6,74.8,51,14.8,47.7,52,95.54,50,2009-2010,Chicago Bulls,40.09,14.33,29.97,15.43,0.18,11.5,12.29,9.64,10.21,13.04,13.93,2009-2010,REG,82
Cleveland Cavaliers,82,61,21,48.2,101.5,32.8,77.2,6.9,5.2,15.6,11.7,13.2,36.8,82,61,21,3956,108.8,101.5,7.3,59.2,1.61,17.8,25.1,77.2,52.4,14.8,53.2,57,93.54,55.2,2009-2010,Cleveland Cavaliers,42.21,11.56,21.47,24.51,0.25,12.06,12.5,9.58,10.52,14.4,14.07,2009-2010,REG,82
Dallas Mavericks,82,55,27,48.5,103.2,31.5,73.7,7.6,5.5,15,12.9,13.4,41.7,82,55,27,3976,107.1,103.2,4,61.1,1.81,18.2,24.3,73.7,49.3,13.6,50.6,55.2,94.76,53.4,2009-2010,Dallas Mavericks,36.72,18.34,22.85,21.85,0.24,12.33,12.16,10.67,10.02,13.78,13.97,2009-2010,REG,82
Denver Nuggets,82,53,29,48.2,104.7,30.5,72.4,8.3,5.1,16.5,14,13.9,42.6,82,53,29,3956,108.7,104.7,4,55,1.51,16.2,26.1,72.4,49.5,14.1,50.9,56.1,97.34,52.4,2009-2010,Denver Nuggets,42.68,12.85,21.74,22.46,0.27,11.7,11.99,9.4,9.72,13.72,13.89,2009-2010,REG,82
Detroit Pistons,82,27,55,48.2,108.9,27.3,73.4,7.3,3.8,16.2,13,14.1,38.6,82,27,55,3956,102.4,108.9,-6.5,54.1,1.45,15.6,30.3,73.4,50.5,14.6,47.4,51.5,90.97,44.8,2009-2010,Detroit Pistons,39.83,19.2,22.95,17.77,0.24,11.46,12.13,9.38,10.03,13.12,14.07,2009-2010,REG,82
Golden State Warriors,82,26,56,48.1,109.4,29.2,68.5,9.3,4.1,17.9,16,18.2,48.4,82,26,56,3946,105.4,109.4,-3.9,55.2,1.53,16.6,20.9,68.5,44.4,14.2,51.4,55.7,102.72,47,2009-2010,Golden State Warriors,38.07,12.53,25.61,23.5,0.28,12.86,11.51,10.73,9.42,14.73,13.48,2009-2010,REG,82
Houston Rockets,82,42,40,48.5,105.5,30.1,73.8,7.1,3.9,16.4,13.4,14.1,45.6,82,42,40,3981,104.5,105.5,-1,57.9,1.51,16.6,26.9,73.8,49.5,14.8,49.4,53.7,96.55,48.9,2009-2010,Houston Rockets,43.52,13.47,16.47,26.28,0.26,11.65,11.52,9.58,9.32,13.33,13.51,2009-2010,REG,82
Indiana Pacers,82,32,50,48.1,104.2,31.9,73,7.1,5.4,17.4,14,13.5,39.3,82,32,50,3941,101.3,104.2,-2.9,57.3,1.4,16.2,21.6,73,47.1,15.1,49.1,53.6,99.41,47.6,2009-2010,Indiana Pacers,38.18,13.17,20.89,27.55,0.22,12.99,12.26,10.85,10.49,14.69,13.72,2009-2010,REG,82
Los Angeles Clippers,82,29,53,48.1,107.1,30.5,74,6.5,5.7,18.8,13.5,13.6,43.5,82,29,53,3941,100.9,107.1,-6.3,60.3,1.41,17.2,27.1,74,50.4,16.5,49.1,52.9,94.96,46.5,2009-2010,Los Angeles Clippers,41.87,15.22,20.8,21.77,0.34,11.69,11.81,9.22,9.71,13.75,13.68,2009-2010,REG,82
Los Angeles Lakers,82,57,25,48.4,101.1,32.5,74.4,7.5,4.9,15.2,12.9,12.8,40.7,82,57,25,3966,105.9,101.1,4.9,55,1.58,16.4,27.6,74.4,51.2,13.9,49.6,53.8,95.24,52.9,2009-2010,Los Angeles Lakers,41.6,16.61,19.05,22.43,0.31,11.78,12.11,9.69,9.83,13.55,13.95,2009-2010,REG,82
Memphis Grizzlies,82,40,42,48.5,107.6,30.4,73.3,7.9,4.9,18.8,13.2,18,47.7,82,40,42,3981,104.8,107.6,-2.9,47.9,1.24,14.5,31.3,73.3,52.3,15.6,49.4,53.6,96.14,48.6,2009-2010,Memphis Grizzlies,48.42,16.41,20.33,14.39,0.45,10.13,11.51,8.01,9.06,12.01,13.75,2009-2010,REG,82
Miami Heat,82,47,35,48.5,100.9,31.1,74.9,7.4,5.6,13.8,12.6,11.4,37,82,47,35,3976,104.5,100.9,3.6,51.9,1.43,15.5,26.1,74.9,50.7,14.3,49.6,53.7,91.92,52.2,2009-2010,Miami Heat,34.34,18.21,25.58,21.66,0.21,12.67,12.25,10.4,10.23,14.58,13.83,2009-2010,REG,82
Milwaukee Bucks,82,46,36,48.7,100.9,31.2,76.4,7.1,4.7,14.8,11.1,12.8,37.5,82,46,36,3996,102,100.9,1,57,1.6,16.5,26.2,76.4,50.1,13.8,48.2,51.8,94.01,49.5,2009-2010,Milwaukee Bucks,38.19,14.93,21.01,25.72,0.15,12.59,11.61,10.88,9.57,13.91,13.29,2009-2010,REG,82
Minnesota Timberwolves,82,15,67,48.2,109.3,31.2,73.6,7.3,3.7,19.6,13.4,17.9,44.6,82,15,67,3956,98.9,109.3,-10.4,52.4,1.22,15.2,26.7,73.6,49.7,16.4,47.8,51.8,98.46,43.2,2009-2010,Minnesota Timberwolves,42.11,19.98,20.82,16.69,0.39,11.07,12.31,8.94,9.88,12.8,14.55,2009-2010,REG,82
New Jersey Nets,82,12,70,48.2,108,28.8,71.8,7,4.8,16.6,13.9,16.5,44.9,82,12,70,3956,98.1,108,-10,54.7,1.3,15.2,25.1,71.8,47.4,15.3,45.8,50.9,93.62,42.9,2009-2010,New Jersey Nets,42.58,16.62,22.67,17.92,0.22,11.03,10.94,8.9,8.87,12.63,12.84,2009-2010,REG,82
New Orleans Hornets,82,37,45,48.4,107.3,29.9,73.8,7.6,3.7,15.9,13.4,14.4,45.2,82,37,45,3966,105.1,107.3,-2.3,57.5,1.66,17.4,24.8,73.8,48.9,14.1,50.6,54.3,94.83,48.4,2009-2010,New Orleans Hornets,39.3,17.3,20.42,22.83,0.15,11.96,11.72,9.95,9.34,13.7,13.95,2009-2010,REG,82
New York Knicks,82,29,53,48.5,109.1,30.2,72.1,7.1,3.7,15.9,14.1,12.7,47.2,82,29,53,3976,105.2,109.1,-4,56.7,1.54,16.8,23.5,72.1,47.4,14.4,50.9,54.7,96.1,47.4,2009-2010,New York Knicks,39.35,9.14,20.17,31.05,0.29,13.06,11.64,10.52,9.33,15.18,13.82,2009-2010,REG,82
Oklahoma City Thunder,82,50,32,48.3,101.6,31.8,73.6,8,5.9,16.3,14.3,12.5,44,82,50,32,3961,105.8,101.6,4.1,53.5,1.34,15.7,28.6,73.6,51.7,15.6,49.4,54.7,95.58,53.2,2009-2010,Oklahoma City Thunder,42.57,16.61,22.27,18.45,0.11,11.11,10.95,8.99,8.66,12.93,12.79,2009-2010,REG,82
Orlando Magic,82,59,23,48.1,100.2,33.4,77.4,6.2,5.6,16.3,11.7,11.2,36.6,82,59,23,3946,109.5,100.2,9.3,53.7,1.4,16,24.6,77.4,51.9,15,53.6,57.3,94.22,55.1,2009-2010,Orlando Magic,38.52,12.03,14.4,34.64,0.41,13.29,12.35,10.86,10.61,15.43,13.71,2009-2010,REG,82
Philadelphia 76ers,82,27,55,48.3,107.6,29.5,73.2,8.1,5.4,16.4,12.7,13.7,42.5,82,27,55,3961,103.4,107.6,-4.2,55.8,1.45,16.5,27.6,73.2,50,15.4,49.6,53.4,93.91,47.8,2009-2010,Philadelphia 76ers,39.52,18.95,20.84,20.3,0.39,11.75,11.61,9.56,9.68,13.62,13.33,2009-2010,REG,82
Phoenix Suns,82,54,28,48.1,106.9,31.9,70.8,5.8,5.1,17.2,16.1,15.3,43.8,82,54,28,3946,112.7,106.9,5.8,57.3,1.58,17.6,27.6,70.8,50.4,15.1,54.6,58.5,97.91,53.6,2009-2010,Phoenix Suns,40.05,15.28,18.57,25.85,0.25,12.13,11.88,10.28,9.94,13.92,13.47,2009-2010,REG,82
Portland Trail Blazers,82,50,32,48.4,104,29.1,74.8,6.4,4.3,14.1,12.9,11.2,40.9,82,50,32,3971,108,104,4.1,56.3,1.65,16.7,28.2,74.8,51.3,13.6,49.9,54.7,90.2,52.5,2009-2010,Portland Trail Blazers,35.55,17.45,25.49,21.04,0.46,12.52,11.77,10.34,9.37,14.39,13.86,2009-2010,REG,82
Sacramento Kings,82,25,57,48.5,107.2,30.7,73.5,6.9,4.5,16.8,13.8,15,45,82,25,57,3976,102.4,107.2,-4.8,53.4,1.37,15.7,27.8,73.5,50.3,15.3,49.1,52.8,96.55,46.7,2009-2010,Sacramento Kings,45.1,12.9,21.96,19.8,0.25,11.21,11.39,9.11,9.22,12.97,13.29,2009-2010,REG,82
San Antonio Spurs,82,50,32,48.2,102,32,76.3,6.3,4.6,15.7,12.6,14.7,41,82,50,32,3956,107.2,102,5.2,58.1,1.64,17.5,26.8,76.3,52,14.4,51.5,55.2,94.02,53.2,2009-2010,San Antonio Spurs,42.17,14.36,20.26,23.01,0.2,11.76,11.38,9.52,9.56,13.76,12.89,2009-2010,REG,82
Toronto Raptors,82,40,42,48.2,110.2,30.6,72.9,5.7,4.7,15.6,13.5,17.2,42.4,82,40,42,3956,108.6,110.2,-1.6,56.4,1.64,17.2,24.7,72.9,49.5,14,52.1,56.4,95.44,48.9,2009-2010,Toronto Raptors,40.58,14.54,23.81,20.45,0.62,12.22,12,10.01,9.97,14.28,13.78,2009-2010,REG,82
Utah Jazz,82,53,29,48.2,102.9,31.6,75.6,8.2,4.9,17.1,12.2,15,40,82,53,29,3951,107.8,102.9,4.8,67.8,1.76,19.9,26.8,75.6,51.9,15.7,52.4,56.5,96.03,55,2009-2010,Utah Jazz,47.53,12.11,22.01,18.14,0.21,10.57,12.02,8.36,9.71,12.71,13.9,2009-2010,REG,82
Washington Wizards,82,26,56,48.4,106.7,30,72.4,6,5.1,17.1,13.5,13.8,41.6,82,26,56,3966,101.4,106.7,-5.4,51.8,1.28,15.1,27.6,72.4,49.7,15.7,48.1,52.4,94.1,46.2,2009-2010,Washington Wizards,38.91,15.42,27.39,18.03,0.25,12.15,12.06,10.36,9.84,13.61,13.97,2009-2010,REG,82
Atlanta Hawks,82,47,35,48.1,104.6,29.4,71.6,7.4,4.6,14,13.3,12.5,40.8,82,47,35,3941,106.6,104.6,2,56.1,1.58,16.4,26,71.6,48.9,13.9,50.4,54.6,92.04,50.7,2008-2009,Atlanta Hawks,38.22,14.58,21.93,24.96,0.31,12.84,12.4,10.62,10.22,14.72,14.21,2008-2009,REG,82
Boston Celtics,82,62,20,48.5,99.4,31.5,75.6,7.6,4.7,17.5,11,10.6,36.1,82,62,20,3976,108.1,99.4,8.7,60.6,1.45,17.9,27.9,75.6,52.8,16.7,52.8,57.1,92.75,56.2,2008-2009,Boston Celtics,42.35,14.01,22.26,21.27,0.11,11.66,12.34,9.86,10.18,13.37,13.98,2008-2009,REG,82
Charlotte Bobcats,82,35,47,48.6,103.4,28.9,73,7.1,4.8,16.6,13.4,10.6,37.6,82,35,47,3986,101.6,103.4,-1.8,60.7,1.36,17.1,27.7,73,50.5,16.9,49.4,53.6,90.82,49.5,2008-2009,Charlotte Bobcats,45.5,11.37,21.89,20.84,0.4,11.23,12.07,9.43,10.19,12.72,13.64,2008-2009,REG,82
Chicago Bulls,82,41,41,48.6,105.8,30.3,70.9,7.5,5.5,16.9,15.4,12.7,43.3,82,41,41,3986,105.1,105.8,-0.7,55.4,1.45,16.2,28,70.9,49.6,15,49.3,54.1,95.79,49.9,2008-2009,Chicago Bulls,38.75,13.12,29.34,18.51,0.28,12.06,11.48,10.44,9.39,13.42,13.24,2008-2009,REG,82
Cleveland Cavaliers,82,66,16,48.2,99.4,31.4,74.6,7.2,5.3,14.7,12,12.6,37.1,82,66,16,3956,109.7,99.4,10.3,55,1.59,16.6,27.7,74.6,52,13.9,51.9,56,91.22,55.9,2008-2009,Cleveland Cavaliers,34.91,13.09,26.17,25.66,0.17,13.32,12.02,11.35,9.83,15.05,13.69,2008-2009,REG,82
