city,state,zipcode,county,employer_name,case_number
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC ",I-200-16334-464041 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC ",I-200-16314-642824 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC ",I-200-16300-818057 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC ",I-200-16287-347113 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC ",I-200-16277-551705 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,MACYS.COM LLC ,I-200-16267-173791 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC ",I-200-16265-096680 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC. ",I-200-16169-450934 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC. ",I-200-16158-107704 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC. ",I-200-16158-729712 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC. ",I-200-16117-617338 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC. ",I-200-16117-912390 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC. ",I-200-16103-631207 
SAN FRANCISCO ,CALIFORNIA ,94107 ,SAN FRANCISCO ,"MACYS.COM, LLC. ",I-200-16092-096315 
NEW ROCHELLE ,NEW YORK ,10801 ,WESTCHESTER ,CITY SCHOOL DISTRICT OF NEW ROCHELLE ,I-200-16270-625350 
NEW YORK ,NEW YORK ,10014 ,NEW YORK ,"RAZORFISH, LLC ",I-200-16334-895609 
NEW YORK ,NEW YORK ,10014 ,NEW YORK ,"RAZORFISH, LLC ",I-200-16334-563916 
NEW YORK ,NEW YORK ,10014 ,NEW YORK ,"RAZORFISH, LLC ",I-200-16270-634904 
NEW YORK ,NEW YORK ,10014 ,NEW YORK ,"RAZORFISH, LLC ",I-200-16166-302745 
NEW YORK ,NEW YORK ,10014 ,NEW YORK ,"RAZORFISH, LLC ",I-200-16161-379343 
SAN FRANCISCO ,CALIFORNIA ,94133 ,SAN FRANCISCO ,"RAZORFISH, LLC ",I-200-16147-745627 
CHICAGO ,ILLINOIS ,60654 ,COOK ,"RAZORFISH, LLC ",I-200-16092-128337 
PALO ALTO ,CALIFORNIA ,94304 ,SANTA CLARA ,"MOJIO USA, INC. ",I-200-16270-638882 
FREMONT ,CALIFORNIA ,94538 ,ALAMEDA ,CHRONOS GLOBAL CONSULTING INC. ,I-200-16270-560453 
SACRAMENTO ,CALIFORNIA ,95819 ,SACRAMENTO ,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO ",I-200-16294-239167 
SACRAMENTO ,CALIFORNIA ,95819 ,SACRAMENTO ,"CALIFORNIA STATE UNIVERSITY, SACRAMENTO ",I-200-16294-136936 
